
245;215824;1000;215D;C37;450                                                                                                                                                                                                                                    
246;217224;1000A;217B;CY6;6                                                                                                                                                                                                                                     
247;209063;1000A;209;D22D;30                                                                                                                                                                                                                                    
248;209064;1000A;209;D22D;30                                                                                                                                                                                                                                    
249;207252;1000;207;B2X1;80                                                                                                                                                                                                                                     
250;209060;1000A;209;D22C;1300                                                                                                                                                                                                                                  
251;219102;1000A;219A;C28;170                                                                                                                                                                                                                                   
255;205205;1000;205;B1A;140                                                                                                                                                                                                                                     
253;213043;1000A;213;B5I;10                                                                                                                                                                                                                                     
254;213044;1000A;213;B5B;8                                                                                                                                                                                                                                      
256;207261;1000;207;B2X1;40                                                                                                                                                                                                                                     
257;207262;1000;207;B2X1;400                                                                                                                                                                                                                                    
258;217249;1000A;217;CY6;18                                                                                                                                                                                                                                     
259;201082;1000;201;A8;900                                                                                                                                                                                                                                      
262;207203;1000;207;B2X1;80                                                                                                                                                                                                                                     
263;207204;1000;207;;2                                                                                                                                                                                                                                          
268;208051;1000;208;B2X4;2                                                                                                                                                                                                                                      
265;207224;1000;207;X29;0                                                                                                                                                                                                                                       
